날짜,지점,강수량(mm)
2002-12-06,경남,0.3
2002-12-07,경남,2.7
2002-12-08,경남,8.3
2002-12-09,경남,0.3
2002-12-10,경남,0
2002-12-11,경남,0.2
2002-12-12,경남,0
2002-12-13,경남,0
2002-12-14,경남,0
2002-12-15,경남,0.8
2002-12-16,경남,10.2
2002-12-17,경남,0
2002-12-18,경남,0.4
2002-12-19,경남,0
2002-12-20,경남,0
2002-12-21,경남,0
2002-12-22,경남,0.4
2002-12-23,경남,0
2002-12-24,경남,0.1
2002-12-25,경남,0.6
2002-12-26,경남,0
2002-12-27,경남,0
2002-12-28,경남,0
2002-12-29,경남,0
2002-12-30,경남,0
2002-12-31,경남,0
2003-01-01,경남,0
2003-01-02,경남,0
2003-01-03,경남,0.4
2003-01-04,경남,0
2003-01-05,경남,0
2003-01-06,경남,0
2003-01-07,경남,0
2003-01-08,경남,0
2003-01-09,경남,0
2003-01-10,경남,0
2003-01-11,경남,0
2003-01-12,경남,0
2003-01-13,경남,0
2003-01-14,경남,0
2003-01-15,경남,0
2003-01-16,경남,0
2003-01-17,경남,0.2
2003-01-18,경남,0
2003-01-19,경남,0
2003-01-20,경남,0
2003-01-21,경남,0
2003-01-22,경남,6.6
2003-01-23,경남,2.5
2003-01-24,경남,0.1
2003-01-25,경남,0
2003-01-26,경남,11.6
2003-01-27,경남,2.4
2003-01-28,경남,0.3
2003-01-29,경남,0
2003-01-30,경남,0.1
2003-01-31,경남,0
2003-02-01,경남,0
2003-02-02,경남,0
2003-02-03,경남,0
2003-02-04,경남,0
2003-02-05,경남,0
2003-02-06,경남,0
2003-02-07,경남,0
2003-02-08,경남,24.8
2003-02-09,경남,0.1
2003-02-10,경남,0
2003-02-11,경남,1.3
2003-02-12,경남,0
2003-02-13,경남,0
2003-02-14,경남,0
2003-02-15,경남,0
2003-02-16,경남,0
2003-02-17,경남,0
2003-02-18,경남,0
2003-02-19,경남,0.2
2003-02-20,경남,0
2003-02-21,경남,0
2003-02-22,경남,18.6
2003-02-23,경남,3.5
2003-02-24,경남,3.4
2003-02-25,경남,0
2003-02-26,경남,0
2003-02-27,경남,0
2003-02-28,경남,0
2003-03-01,경남,10.9
2003-03-02,경남,0.1
2003-03-03,경남,1.9
2003-03-04,경남,0
2003-03-05,경남,0.1
2003-03-06,경남,25.6
2003-03-07,경남,0.4
2003-03-08,경남,0.1
2003-03-09,경남,0
2003-03-10,경남,0
2003-03-11,경남,0
2003-03-12,경남,0
2003-03-13,경남,0
2003-03-14,경남,0.7
2003-03-15,경남,0.7
2003-03-16,경남,6.7
2003-03-17,경남,0.1
2003-03-18,경남,0
2003-03-19,경남,0
2003-03-20,경남,0
2003-03-21,경남,0
2003-03-22,경남,0
2003-03-23,경남,0
2003-03-24,경남,0
2003-03-25,경남,0
2003-03-26,경남,0
2003-03-27,경남,4.2
2003-03-28,경남,0
2003-03-29,경남,0
2003-03-30,경남,0
2003-03-31,경남,2.9
2003-04-01,경남,0.3
2003-04-02,경남,0
2003-04-03,경남,0
2003-04-04,경남,0.4
2003-04-05,경남,0
2003-04-06,경남,0
2003-04-07,경남,15.6
2003-04-08,경남,4.9
2003-04-09,경남,0
2003-04-10,경남,0
2003-04-11,경남,13.7
2003-04-12,경남,0.1
2003-04-13,경남,0
2003-04-14,경남,0
2003-04-15,경남,0
2003-04-16,경남,0
2003-04-17,경남,0
2003-04-18,경남,26.8
2003-04-19,경남,12.1
2003-04-20,경남,9.9
2003-04-21,경남,0
2003-04-22,경남,0.4
2003-04-23,경남,29
2003-04-24,경남,8.4
2003-04-25,경남,48.8
2003-04-26,경남,0.6
2003-04-27,경남,0
2003-04-28,경남,0
2003-04-29,경남,34.6
2003-04-30,경남,0.7
2003-05-01,경남,0
2003-05-02,경남,0
2003-05-03,경남,0
2003-05-04,경남,0
2003-05-05,경남,0
2003-05-06,경남,5.3
2003-05-07,경남,37.6
2003-05-08,경남,4.7
2003-05-09,경남,0
2003-05-10,경남,0
2003-05-11,경남,0
2003-05-12,경남,0
2003-05-13,경남,0
2003-05-14,경남,10.6
2003-05-15,경남,1.4
2003-05-16,경남,0
2003-05-17,경남,0
2003-05-18,경남,0
2003-05-19,경남,0.1
2003-05-20,경남,0
2003-05-21,경남,0
2003-05-22,경남,0.1
2003-05-23,경남,0
2003-05-24,경남,4.1
2003-05-25,경남,73.1
2003-05-26,경남,17.7
2003-05-27,경남,0
2003-05-28,경남,0
2003-05-29,경남,8.9
2003-05-30,경남,126.1
2003-05-31,경남,3.5
2003-06-01,경남,0.1
2003-06-02,경남,0
2003-06-03,경남,0
2003-06-04,경남,0
2003-06-05,경남,0
2003-06-06,경남,3.6
2003-06-07,경남,0.2
2003-06-08,경남,0
2003-06-09,경남,0
2003-06-10,경남,0
2003-06-11,경남,2.8
2003-06-12,경남,47.8
2003-06-13,경남,0.1
2003-06-14,경남,0.3
2003-06-15,경남,0
2003-06-16,경남,0
2003-06-17,경남,0
2003-06-18,경남,3.1
2003-06-19,경남,91.6
2003-06-20,경남,0
2003-06-21,경남,0
2003-06-22,경남,0.1
2003-06-23,경남,29.9
2003-06-24,경남,0
2003-06-25,경남,0
2003-06-26,경남,0
2003-06-27,경남,65.6
2003-06-28,경남,0.1
2003-06-29,경남,0
2003-06-30,경남,1.6
2003-07-01,경남,24.5
2003-07-02,경남,2.4
2003-07-03,경남,68.6
2003-07-04,경남,9.7
2003-07-05,경남,48.7
2003-07-06,경남,52.9
2003-07-07,경남,12.3
2003-07-08,경남,2.1
2003-07-09,경남,27.5
2003-07-10,경남,16
2003-07-11,경남,59.5
2003-07-12,경남,6.8
2003-07-13,경남,64.8
2003-07-14,경남,0
2003-07-15,경남,0.1
2003-07-16,경남,0
2003-07-17,경남,10.6
2003-07-18,경남,56.9
2003-07-19,경남,1.1
2003-07-20,경남,10.2
2003-07-21,경남,0
2003-07-22,경남,2.4
2003-07-23,경남,35.9
2003-07-24,경남,0.4
2003-07-25,경남,11.8
2003-07-26,경남,0
2003-07-27,경남,0
2003-07-28,경남,1.9
2003-07-29,경남,21.1
2003-07-30,경남,0
2003-07-31,경남,0
2003-08-01,경남,0
2003-08-02,경남,0
2003-08-03,경남,0
2003-08-04,경남,5.1
2003-08-05,경남,0.1
2003-08-06,경남,1.9
2003-08-07,경남,29.4
2003-08-08,경남,0
2003-08-09,경남,0
2003-08-10,경남,2.2
2003-08-11,경남,19.8
2003-08-12,경남,0
2003-08-13,경남,0.6
2003-08-14,경남,0.2
2003-08-15,경남,0
2003-08-16,경남,12.2
2003-08-17,경남,6.9
2003-08-18,경남,58.4
2003-08-19,경남,23.1
2003-08-20,경남,14.1
2003-08-21,경남,0.1
2003-08-22,경남,0
2003-08-23,경남,0
2003-08-24,경남,0.4
2003-08-25,경남,28.6
2003-08-26,경남,0.5
2003-08-27,경남,34.4
2003-08-28,경남,8.3
2003-08-29,경남,0.2
2003-08-30,경남,16.3
2003-08-31,경남,4.1
2003-09-01,경남,0.2
2003-09-02,경남,19.6
2003-09-03,경남,8.8
2003-09-04,경남,0
2003-09-05,경남,0.1
2003-09-06,경남,1
2003-09-07,경남,1.1
2003-09-08,경남,9.4
2003-09-09,경남,9.4
2003-09-10,경남,0.1
2003-09-11,경남,18.1
2003-09-12,경남,191.6
2003-09-13,경남,1.9
2003-09-14,경남,0
2003-09-15,경남,0
2003-09-16,경남,0
2003-09-17,경남,0
2003-09-18,경남,3.8
2003-09-19,경남,3.9
2003-09-20,경남,0.5
2003-09-21,경남,0
2003-09-22,경남,0
2003-09-23,경남,0
2003-09-24,경남,0
2003-09-25,경남,0
2003-09-26,경남,0
2003-09-27,경남,0
2003-09-28,경남,0
2003-09-29,경남,0
2003-09-30,경남,0
2003-10-01,경남,0
2003-10-02,경남,0
2003-10-03,경남,0
2003-10-04,경남,0
2003-10-05,경남,0
2003-10-06,경남,0
2003-10-07,경남,0
2003-10-08,경남,0
2003-10-09,경남,0
2003-10-10,경남,0
2003-10-11,경남,0
2003-10-12,경남,0.3
2003-10-13,경남,6.4
2003-10-14,경남,0.1
2003-10-15,경남,0
2003-10-16,경남,0
2003-10-17,경남,0
2003-10-18,경남,0
2003-10-19,경남,0
2003-10-20,경남,0
2003-10-21,경남,0
2003-10-22,경남,0
2003-10-23,경남,0
2003-10-24,경남,0
2003-10-25,경남,0
2003-10-26,경남,0
2003-10-27,경남,0
2003-10-28,경남,4.5
2003-10-29,경남,0
2003-10-30,경남,0
2003-10-31,경남,0
2003-11-01,경남,0
2003-11-02,경남,0
2003-11-03,경남,0
2003-11-04,경남,0
2003-11-05,경남,0.1
2003-11-06,경남,0
2003-11-07,경남,0
2003-11-08,경남,9.1
2003-11-09,경남,1.8
2003-11-10,경남,6.2
2003-11-11,경남,6.3
2003-11-12,경남,1
2003-11-13,경남,0.1
2003-11-14,경남,0
2003-11-15,경남,0.1
2003-11-16,경남,0
2003-11-17,경남,0
2003-11-18,경남,2.2
2003-11-19,경남,11.6
2003-11-20,경남,9.3
2003-11-21,경남,0
2003-11-22,경남,0
2003-11-23,경남,0
2003-11-24,경남,0.1
2003-11-25,경남,0
2003-11-26,경남,0
2003-11-27,경남,5.5
2003-11-28,경남,10.6
2003-11-29,경남,0.1
2003-11-30,경남,0
2003-12-01,경남,0
2003-12-02,경남,0
2003-12-03,경남,0
2003-12-04,경남,0
2003-12-05,경남,2.9
2003-12-06,경남,9.4
2003-12-07,경남,0
2003-12-08,경남,0
2003-12-09,경남,0
2003-12-10,경남,0.1
2003-12-11,경남,2.3
2003-12-12,경남,0
2003-12-13,경남,0
2003-12-14,경남,0
2003-12-15,경남,0
2003-12-16,경남,0
2003-12-17,경남,0
2003-12-18,경남,0
2003-12-19,경남,0
2003-12-20,경남,0
2003-12-21,경남,0
2003-12-22,경남,0
2003-12-23,경남,0
2003-12-24,경남,0
2003-12-25,경남,0
2003-12-26,경남,0
2003-12-27,경남,0
2003-12-28,경남,0
2003-12-29,경남,0
2003-12-30,경남,0
2003-12-31,경남,0
2004-01-01,경남,0
2004-01-02,경남,0
2004-01-03,경남,0
2004-01-04,경남,0
2004-01-05,경남,0
2004-01-06,경남,0
2004-01-07,경남,0
2004-01-08,경남,0
2004-01-09,경남,0.1
2004-01-10,경남,0
2004-01-11,경남,0
2004-01-12,경남,0.3
2004-01-13,경남,0
2004-01-14,경남,0
2004-01-15,경남,0
2004-01-16,경남,1.6
2004-01-17,경남,0.3
2004-01-18,경남,0
2004-01-19,경남,0
2004-01-20,경남,0
2004-01-21,경남,0
2004-01-22,경남,0
2004-01-23,경남,0
2004-01-24,경남,0
2004-01-25,경남,0
2004-01-26,경남,0
2004-01-27,경남,0
2004-01-28,경남,0
2004-01-29,경남,0
2004-01-30,경남,0
2004-01-31,경남,0
2004-02-01,경남,0
2004-02-02,경남,0
2004-02-03,경남,0
2004-02-04,경남,0.4
2004-02-05,경남,0.8
2004-02-06,경남,0.6
2004-02-07,경남,0.6
2004-02-08,경남,0
2004-02-09,경남,0
2004-02-10,경남,0
2004-02-11,경남,0
2004-02-12,경남,0
2004-02-13,경남,0
2004-02-14,경남,0.2
2004-02-15,경남,0
2004-02-16,경남,0
2004-02-17,경남,0
2004-02-18,경남,0
2004-02-19,경남,0
2004-02-20,경남,0
2004-02-21,경남,15.3
2004-02-22,경남,39.9
2004-02-23,경남,0
2004-02-24,경남,0
2004-02-25,경남,0
2004-02-26,경남,0
2004-02-27,경남,0
2004-02-28,경남,5.9
2004-02-29,경남,0.7
2004-03-01,경남,0.2
2004-03-02,경남,0
2004-03-03,경남,0.7
2004-03-04,경남,0
2004-03-05,경남,7.1
2004-03-06,경남,0.2
2004-03-07,경남,0
2004-03-08,경남,0
2004-03-09,경남,0
