날짜,지점,강수량(mm)
2003-10-04,서울경기,0
2003-10-05,서울경기,0
2003-10-06,서울경기,0
2003-10-07,서울경기,0
2003-10-08,서울경기,0
2003-10-09,서울경기,0
2003-10-10,서울경기,0
2003-10-11,서울경기,0
2003-10-12,서울경기,2
2003-10-13,서울경기,7.5
2003-10-14,서울경기,0
2003-10-15,서울경기,0
2003-10-16,서울경기,0
2003-10-17,서울경기,0
2003-10-18,서울경기,0
2003-10-19,서울경기,0
2003-10-20,서울경기,0
2003-10-21,서울경기,5.2
2003-10-22,서울경기,3.9
2003-10-23,서울경기,0
2003-10-24,서울경기,0
2003-10-25,서울경기,2.3
2003-10-26,서울경기,0
2003-10-27,서울경기,0
2003-10-28,서울경기,14.6
2003-10-29,서울경기,0
2003-10-30,서울경기,0
2003-10-31,서울경기,0
2003-11-01,서울경기,0
2003-11-02,서울경기,0
2003-11-03,서울경기,0
2003-11-04,서울경기,0
2003-11-05,서울경기,0
2003-11-06,서울경기,0
2003-11-07,서울경기,9
2003-11-08,서울경기,10.9
2003-11-09,서울경기,0
2003-11-10,서울경기,1.5
2003-11-11,서울경기,15
2003-11-12,서울경기,3.6
2003-11-13,서울경기,0
2003-11-14,서울경기,0
2003-11-15,서울경기,0.4
2003-11-16,서울경기,0
2003-11-17,서울경기,0
2003-11-18,서울경기,0
2003-11-19,서울경기,0
2003-11-20,서울경기,6.9
2003-11-21,서울경기,0
2003-11-22,서울경기,0
2003-11-23,서울경기,0
2003-11-24,서울경기,0
2003-11-25,서울경기,5.5
2003-11-26,서울경기,0.6
2003-11-27,서울경기,1.6
2003-11-28,서울경기,6.5
2003-11-29,서울경기,0.1
2003-11-30,서울경기,0
2003-12-01,서울경기,0
2003-12-02,서울경기,0
2003-12-03,서울경기,0
2003-12-04,서울경기,0
2003-12-05,서울경기,1.8
2003-12-06,서울경기,0.8
2003-12-07,서울경기,0
2003-12-08,서울경기,2.8
2003-12-09,서울경기,0
2003-12-10,서울경기,0
2003-12-11,서울경기,0
2003-12-12,서울경기,0
2003-12-13,서울경기,0
